,Country,Region,Year,Month,seces_word,self-det_word,tot_words,Tax_Auto,Referendum,Ruling_cat,Mas_speech,Budget ,Year
,Spain,Basque,2010,Jan,,,,,,,,,2010
,Spain,Basque,2010,Feb,,,,,,,,,2010
,Spain,Basque,2010,Mar,,,,,,,,,2010
,Spain,Basque,2010,Apr,,,,,,,,,2010
,Spain,Basque,2010,May,,,,,,,,,2010
,Spain,Basque,2010,Jun,,,,,,,,,2010
,Spain,Basque,2010,Jul,,,,,,,,,2010
,Spain,Basque,2010,Aug,,,,,,,,,2010
,Spain,Basque,2010,Sep,,,,,,,,,2010
,Spain,Basque,2010,Oct,,,,,,,,,2010
,Spain,Basque,2010,Nov,,,,,,,,,2010
,Spain,Basque,2010,Dec,,,,,,,,,2010
,Spain,Basque,2011,Jan,,,,,,,,,2011
,Spain,Basque,2011,Feb,,,,,,,,,2011
,Spain,Basque,2011,Mar,,,,,,,,,2011
,Spain,Basque,2011,Apr,,,,,,,,,2011
,Spain,Basque,2011,May,,,,,,,,,2011
,Spain,Basque,2011,Jun,,,,,,,,,2011
,Spain,Basque,2011,Jul,,,,,,,,,2011
,Spain,Basque,2011,Aug,,,,,,,,,2011
,Spain,Basque,2011,Sep,,,,,,,,,2011
,Spain,Basque,2011,Oct,,,,,,,,,2011
,Spain,Basque,2011,Nov,,,,,,,,,2011
,Spain,Basque,2011,Dec,,,,,,,,,2011
,Spain,Basque,2012,Jan,,,,,,,,,2012
,Spain,Basque,2012,Feb,,,,,,,,,2012
,Spain,Basque,2012,Mar,,,,,,,,,2012
,Spain,Basque,2012,Apr,,,,,,,,,2012
,Spain,Basque,2012,May,,,,,,,,,2012
,Spain,Basque,2012,Jun,,,,,,,,,2012
,Spain,Basque,2012,Jul,,,,,,,,,2012
,Spain,Basque,2012,Aug,,,,,,,,,2012
,Spain,Basque,2012,Sep,,,,,,,,,2012
,Spain,Basque,2012,Oct,,,,,,,,,2012
,Spain,Basque,2012,Nov,,,,,,,,,2012
,Spain,Basque,2012,Dec,,,,,,,,,2012
,Spain,Basque,2013,Jan,,,,,,,,,2013
